block,model,K,n_boot,D_point,D_ci_lo,D_ci_hi,verdict,sign_reversal,ratio_point,ratio_ci_lo,ratio_ci_hi,gap_point_pp,bench_gap_point_pp
B1,logistic_regression,0.1,1000,-5.298597534406101,-6.384426027585391,-4.244153587794773,attenuation,False,1.722164742917889,1.6076316538480329,1.8355344771179103,5.726773563845391,11.025371098251492
B1,gradient_boosting,0.1,1000,-4.2021613768313895,-5.2791321174439245,-3.0693336679246457,attenuation,False,1.908861136595492,1.7616136851685804,2.061293849503244,6.823209721420103,11.025371098251492
B2,logistic_regression,0.1,1000,-3.0211845541021987,-4.123639758762037,-1.9246461541131141,attenuation,False,2.1361143881081635,1.9737662845321673,2.2889422875976795,8.004186544149293,11.025371098251492
B2,gradient_boosting,0.1,1000,-3.8547425797405523,-4.947501792347531,-2.7141651182919717,attenuation,False,1.9739835776937058,1.8246143425192585,2.1185402322361266,7.17062851851094,11.025371098251492
B3,logistic_regression,0.1,1000,3.521825705808217,2.5581033351753617,4.408557944066892,amplification,False,4.138423014209178,3.7822684485097056,4.492742813700564,14.547196804059709,11.025371098251492
B3,gradient_boosting,0.1,1000,3.361321985704528,2.4321343403404696,4.223517379319467,amplification,False,4.064507268024106,3.720491610627466,4.405586839422396,14.38669308395602,11.025371098251492
B4,logistic_regression,0.1,1000,5.742466430376384,4.789691487824941,6.673880976704078,amplification,False,5.378429299501193,4.90845893557944,5.879081736314962,16.767837528627876,11.025371098251492
B4,gradient_boosting,0.1,1000,5.117606770372179,4.18145549891035,6.070380359578879,amplification,False,5.007957374103368,4.566297942356527,5.455039037855272,16.14297786862367,11.025371098251492
B5,logistic_regression,0.1,1000,3.5462622917072686,2.5836573388956157,4.459350992962018,amplification,False,4.15267696701322,3.7974905402540013,4.5070972498653035,14.57163338995876,11.025371098251492
B5,gradient_boosting,0.1,1000,3.2496914373989476,2.3273959689458894,4.134695751046264,amplification,False,4.01949472210092,3.6775162602602185,4.379732943306249,14.27506253565044,11.025371098251492
B6,logistic_regression,0.1,1000,5.7134017762408735,4.775627158492171,6.656841457999446,amplification,False,5.3633169566985694,4.883806852646103,5.880803078425435,16.738772874492366,11.025371098251492
B6,gradient_boosting,0.1,1000,4.986167704404002,4.065756666539121,5.899662798399541,amplification,False,4.923863352204165,4.478252188790069,5.377954339972449,16.011538802655494,11.025371098251492
