metric,group,n_denominator,n_numerator,value
completion_rate,Pardo,2109100.0,1481578.0,70.24692997012944
completion_rate,White,1534030.0,1117874.0,72.87171698076308
completion_rate,Black,597962.0,412497.0,68.98381502503504
completion_rate,Asian,100494.0,71470.0,71.11867375166676
completion_rate,Not declared,88548.0,61246.0,69.16700546596196
completion_rate,Indigenous,28585.0,19049.0,66.63984607311527
composite_overall,ALL,3102467.0,,521.8312625017446
composite_overall_sd,ALL,3102467.0,,83.64649248336309
subject_gap_NU_NOTA_CN,White_minus_BP,,,34.80315004049601
subject_gap_sd_NU_NOTA_CN,White_minus_BP,,,0.45734072235361206
subject_gap_NU_NOTA_CH,White_minus_BP,,,36.193346974639724
subject_gap_sd_NU_NOTA_CH,White_minus_BP,,,0.44625055280415504
subject_gap_NU_NOTA_LC,White_minus_BP,,,28.7911702722119
subject_gap_sd_NU_NOTA_LC,White_minus_BP,,,0.4588283970751592
subject_gap_NU_NOTA_MT,White_minus_BP,,,52.79443241114393
subject_gap_sd_NU_NOTA_MT,White_minus_BP,,,0.4840475914740843
subject_gap_NU_NOTA_REDACAO,White_minus_BP,,,57.32185931764502
subject_gap_sd_NU_NOTA_REDACAO,White_minus_BP,,,0.31610186181711125
composite_mean,White,1117874.0,,548.5638683250528
composite_sd,White,1117874.0,,87.28240929534272
composite_mean,Asian,71470.0,,520.2587074296907
composite_sd,Asian,71470.0,,84.73880064543974
composite_mean,Pardo,1481578.0,,507.59344944376875
composite_sd,Pardo,1481578.0,,78.36809802323849
composite_mean,Black,412496.0,,502.95408062138785
composite_sd,Black,412496.0,,72.86266455028377
composite_mean,Indigenous,19049.0,,475.1043015381385
composite_sd,Indigenous,19049.0,,72.69325947974099
composite_gap_white_bp,ALL,,,41.98079180322742
composite_gap_white_bp_pooled_sd,ALL,,,0.501883468832566
selection_rate_white,K5,,,9.026061971206058
selection_rate_black_pardo,K5,,,2.6417130481702404
selection_gap_pp,K5,,,6.384348923035818
selection_ratio,K5,,,3.416745803431558
tied_at_boundary,K5,,,71.0
pool_composition_pct,K5_White,,,65.04515771355634
eligible_pool_pct,White,,,36.03177729207111
pool_composition_pct,K5_Black,,,4.482249569696306
eligible_pool_pct,Black,,,13.295741743586637
pool_composition_pct,K5_Pardo,,,27.773444299040115
eligible_pool_pct,Pardo,,,47.7548351038061
pool_composition_pct,K5_Indigenous,,,0.09540815997627689
eligible_pool_pct,Indigenous,,,0.613995249586861
pool_composition_pct,K5_Asian,,,2.603740257730962
eligible_pool_pct,Asian,,,2.3036506109492865
benchmark_positive_n,K5_White,,,100900.0
benchmark_positive_n,K5_Black,,,6953.0
benchmark_positive_n,K5_Pardo,,,43083.0
benchmark_positive_n,K5_Asian,,,4039.0
benchmark_positive_n,K5_Indigenous,,,148.0
selection_rate_white,K10,,,16.971948538028435
selection_rate_black_pardo,K10,,,5.949345168140209
selection_gap_pp,K10,,,11.022603369888227
selection_ratio,K10,,,2.852742286481579
tied_at_boundary,K10,,,98.0
pool_composition_pct,K10_White,,,61.153084971280855
eligible_pool_pct,White,,,36.03177729207111
pool_composition_pct,K10_Black,,,5.775416927212599
eligible_pool_pct,Black,,,13.295741743586637
pool_composition_pct,K10_Pardo,,,30.545760461053487
eligible_pool_pct,Pardo,,,47.7548351038061
pool_composition_pct,K10_Indigenous,,,0.12860762104910298
eligible_pool_pct,Indigenous,,,0.613995249586861
pool_composition_pct,K10_Asian,,,2.397130019403957
eligible_pool_pct,Asian,,,2.3036506109492865
benchmark_positive_n,K10_White,,,189725.0
benchmark_positive_n,K10_Black,,,17918.0
benchmark_positive_n,K10_Pardo,,,94767.0
benchmark_positive_n,K10_Asian,,,7437.0
benchmark_positive_n,K10_Indigenous,,,399.0
selection_rate_white,K20,,,30.745504412840802
selection_rate_black_pardo,K20,,,13.818467493878275
selection_gap_pp,K20,,,16.92703691896253
selection_ratio,K20,,,2.2249576102749007
tied_at_boundary,K20,,,48.0
pool_composition_pct,K20_White,,,55.39079409437335
eligible_pool_pct,White,,,36.03177729207111
pool_composition_pct,K20_Black,,,7.6560090121886955
eligible_pool_pct,Black,,,13.295741743586637
pool_composition_pct,K20_Pardo,,,34.525288762322866
eligible_pool_pct,Pardo,,,47.7548351038061
pool_composition_pct,K20_Indigenous,,,0.1958120397812707
eligible_pool_pct,Indigenous,,,0.613995249586861
pool_composition_pct,K20_Asian,,,2.2320960913338266
eligible_pool_pct,Asian,,,2.3036506109492865
benchmark_positive_n,K20_White,,,343696.0
benchmark_positive_n,K20_Black,,,47505.0
benchmark_positive_n,K20_Pardo,,,214227.0
benchmark_positive_n,K20_Asian,,,13850.0
benchmark_positive_n,K20_Indigenous,,,1215.0
