block,model,K,mitigation,overlap_at_k,jaccard,pr_auc,roc_auc,rate_white_pct,rate_bp_pct,gap_pp,ratio,bench_gap_pp,D,zero_sum_value,white_p_g,white_q_g,white_net_realloc,white_fpr,white_fnr,bp_p_g,bp_q_g,bp_net_realloc,bp_fpr,bp_fnr,source,level,constraint_strength,tpr_white,tpr_bp,tpr_gap,tau_white,tau_bp,n_realised,n_target,target_tpr_gap,overlap_above_anchor,gap_above_anchor
B3,logistic_regression,0.1,reweighing,0.4800161485668147,0.3158034528552457,0.4653170452351804,0.86625338241197,18.126684636118597,5.302079894354572,12.824604741764023,3.4187875319304633,11.025371098251492,1.7992336435125331,-4.085620730620576e-14,0.1698113207547169,0.1812668463611859,0.011455525606469,0.1059253246753246,0.4503968253968254,0.059557609772202,0.0530207989435457,-0.0065368108286563,0.0337007652882117,0.6419068736141907,E1_reweighing,0,,,,,,,,,,0.38401614856681465,13.214604741764024
B3,gradient_boosting,0.1,reweighing,0.4909164311667339,0.3253076511503477,0.4749801520291098,0.8698588745685835,17.800988319856245,5.4671508748761966,12.333837444980048,3.2559899529495513,11.025371098251492,1.3084663467285562,1.6608936448392344e-13,0.1698113207547169,0.1780098831985624,0.0081985624438454,0.0995670995670995,0.4384920634920635,0.059557609772202,0.0546715087487619,-0.00488610102344,0.0346837042757846,0.6297117516629712,E1_reweighing,0,,,,,,,,,,0.3949164311667339,12.723837444980049
B4,logistic_regression,0.1,reweighing,0.4626564392410173,0.3009453781512605,0.4367112960610769,0.8509848071199834,13.690476190476192,7.817761637504127,5.872714552972065,1.7512015363577864,11.025371098251492,-5.152656545279427,2.842170943040401e-13,0.1698113207547169,0.1369047619047619,-0.032906558849955,0.0707521645021645,0.5396825396825397,0.059557609772202,0.0781776163750412,0.0186200066028392,0.0542722740995576,0.5443458980044346,E1_reweighing,0,,,,,,,,,,0.3666564392410173,6.2627145529720645
B4,gradient_boosting,0.1,reweighing,0.4691158659668954,0.3064345991561181,0.4502531232350057,0.8587139627982977,13.757861635220126,7.731924727632881,6.025936907587244,1.779357937364721,11.025371098251492,-4.999434190664248,6.039613253960853e-14,0.1698113207547169,0.1375786163522012,-0.0322327044025157,0.0693993506493506,0.5291005291005291,0.059557609772202,0.0773192472763288,0.0177616375041267,0.0534999648950361,0.5465631929046563,E1_reweighing,0,,,,,,,,,,0.3731158659668954,6.415936907587244
B3,logistic_regression,0.1,threshold_eq_opp,0.4650787242632216,0.3029984218832193,0.4721948314766578,0.8686669048143951,13.589398023360287,7.923407065037965,5.665990958322324,1.715095275531597,11.025371098251492,-5.3593801399291685,1.167954621905665e-13,,,-0.033917340521114,0.0693993506493506,0.5390211640211641,,,0.0196764608781776,0.0551147932317629,0.5399113082039911,E2_threshold,10,1.0,0.4609788359788359,0.4600886917960088,0.000890144182827,0.3603654670242777,0.1978943647319807,2477.0,2477.0,,0.36907872426322164,6.055990958322323
B3,gradient_boosting,0.1,threshold_eq_opp,0.4723455793298344,0.3091966173361522,0.4856631290735657,0.8714139136968493,13.937556154537289,7.718719049191153,6.218837105346134,1.8056825317405232,11.025371098251492,-4.806533992905358,5.995204332975845e-14,,,-0.0304357592093441,0.0715638528138528,0.5291005291005291,,,0.0176295807197094,0.0526574457628308,0.5354767184035477,E2_threshold,10,1.0,0.4708994708994709,0.4645232815964523,0.0063761893030186,0.3958017996790023,0.2196132846993309,2477.0,2477.0,,0.37634557932983437,6.608837105346134
B4,logistic_regression,0.1,threshold_eq_opp,0.4662898667743237,0.3040273756251645,0.4751419053196917,0.8697905116506361,13.477088948787062,8.015846814130075,5.461242134656986,1.6813057012304784,11.025371098251492,-5.564128963594506,-1.1834977442504169e-13,,,-0.0350404312668463,0.0688582251082251,0.542989417989418,,,0.0206008583690987,0.055395632942498,0.5288248337028825,E2_threshold,10,1.0,0.457010582010582,0.4711751662971175,-0.0141645842865355,0.3880414068603098,0.1726220915022693,2477.0,2477.0,,0.37028986677432374,5.851242134656986
B4,gradient_boosting,0.1,threshold_eq_opp,0.4695195801372628,0.3067792139277235,0.4904435435914603,0.8733017332262772,13.802785265049415,7.771541762958072,6.031243502091345,1.7760678236123486,11.025371098251492,-4.994127596160147,5.995204332975845e-14,,,-0.0317834681042228,0.0699404761904761,0.5291005291005291,,,0.0181578078573786,0.0536403847504037,0.5421286031042128,E2_threshold,10,1.0,0.4708994708994709,0.4578713968957871,0.0130280740036837,0.4217913754221228,0.1965322143002377,2477.0,2477.0,,0.37351958013726283,6.421243502091345
B3,logistic_regression,0.1,,0.4913201453371013,,,,,,14.547196804059707,4.138423014209178,,3.521825705808217,2.0206059048177852e-13,,,,,,,,,,,E3_frontier,0,0.0,0.5699138502319416,0.3484513274336283,,,,2477.0,2477.0,0.2214625227983133,0.39532014533710125,14.937196804059708
B3,logistic_regression,0.1,,0.4852644327815906,,,,,,12.567650922780894,3.3411694123679783,,1.5422798245294018,7.416289804496047e-14,,,,,,,,,,,E3_frontier,1,0.0999999999999999,0.559973492379059,0.3606194690265487,,,,2477.0,2477.0,0.1993162705184819,0.3892644327815906,12.957650922780894
B3,logistic_regression,0.1,,0.4832458619297537,,,,,,11.675963588871516,3.0490436680586224,,0.6505924906200224,-3.9968028886505635e-15,,,,,,,,,,,E3_frontier,2,0.1999999999999999,0.5513585155732273,0.375,,,,2477.0,2477.0,0.1771700182386506,0.38724586192975374,12.065963588871517
B3,logistic_regression,0.1,,0.480419862737182,,,,,,10.819943748318517,2.7987711094213386,,-0.2054273499329753,1.91402449445377e-13,,,,,,,,,,,E3_frontier,3,0.3,0.5407554671968191,0.3860619469026549,,,,2477.0,2477.0,0.1550237659588193,0.384419862737182,11.209943748318517
B3,logistic_regression,0.1,,0.4788050060557126,,,,,,10.356266334685644,2.67391305911221,,-0.6691047635658496,2.0206059048177852e-13,,,,,,,,,,,E3_frontier,4,0.4,0.5308151093439364,0.3971238938053097,,,,2477.0,2477.0,0.1328775136789879,0.38280500605571255,10.746266334685645
B3,logistic_regression,0.1,,0.4784012918853452,,,,,,9.482412747454452,2.456502444829591,,-1.54295835079704,2.446931546273845e-13,,,,,,,,,,,E3_frontier,5,0.5,0.5222001325381047,0.411504424778761,,,,2477.0,2477.0,0.1107312613991566,0.3824012918853452,9.872412747454453
B3,logistic_regression,0.1,,0.4747678643520387,,,,,,8.662060400257825,2.2711909376153563,,-2.3633106979936667,2.0206059048177852e-13,,,,,,,,,,,E3_frontier,6,0.6,0.5089463220675944,0.4203539823008849,,,,2477.0,2477.0,0.0885850091193253,0.3787678643520387,9.052060400257826
B3,logistic_regression,0.1,,0.4735567218409366,,,,,,7.930876786452136,2.119414062728962,,-3.094494311799356,-2.5313084961453572e-14,,,,,,,,,,,E3_frontier,7,0.7,0.4956925115970841,0.4292035398230088,,,,2477.0,2477.0,0.0664387568394939,0.3775567218409366,8.320876786452136
B3,logistic_regression,0.1,,0.4719418651594671,,,,,,7.342363146071948,2.0054257671542466,,-3.683007952179544,5.995204332975845e-14,,,,,,,,,,,E3_frontier,8,0.8,0.4864148442677269,0.4424778761061947,,,,2477.0,2477.0,0.0442925045596626,0.37594186515946715,7.732363146071948
B3,logistic_regression,0.1,,0.4683084376261607,,,,,,6.343673332093448,1.8268066490064996,,-4.681697766158044,5.995204332975845e-14,,,,,,,,,,,E3_frontier,9,0.9,0.4685222001325381,0.4469026548672566,,,,2477.0,2477.0,0.0221462522798313,0.3723084376261607,6.733673332093447
B3,logistic_regression,0.1,,0.4650787242632216,,,,,,5.665990958322324,1.715095275531597,,-5.3593801399291685,1.167954621905665e-13,,,,,,,,,,,E3_frontier,10,1.0,0.4572564612326044,0.4579646017699115,,,,2477.0,2477.0,0.0,0.36907872426322164,6.055990958322323
B3,gradient_boosting,0.1,,0.4977795720629794,,,,,,14.386693083956022,4.064507268024106,,3.36132198570453,1.7363888105137448e-13,,,,,,,,,,,E3_frontier,0,0.0,0.5745526838966203,0.3617256637168141,,,,2477.0,2477.0,0.2128270201798061,0.40177957206297943,14.776693083956022
B3,gradient_boosting,0.1,,0.4945498587000403,,,,,,12.692487149528208,3.3849592789032843,,1.6671160512767162,4.5741188614556456e-14,,,,,,,,,,,E3_frontier,1,0.0999999999999999,0.5646123260437376,0.372787610619469,,,,2477.0,2477.0,0.1915443181618255,0.39854985870004034,13.082487149528209
B3,gradient_boosting,0.1,,0.4929350020185709,,,,,,12.175308495860769,3.2083239182013332,,1.1499373976092766,-3.952393967665557e-14,,,,,,,,,,,E3_frontier,2,0.2,0.5553346587143804,0.3849557522123893,,,,2477.0,2477.0,0.1702616161438449,0.3969350020185709,12.56530849586077
B3,gradient_boosting,0.1,,0.4909164311667339,,,,,,11.390623642020518,2.962582423872591,,0.3652525437690261,2.589040093425865e-13,,,,,,,,,,,E3_frontier,3,0.2999999999999999,0.5414181577203446,0.3926991150442478,,,,2477.0,2477.0,0.1489789141258643,0.3949164311667339,11.780623642020519
