task,variant,block,model,K,group_a,group_b,D_point,D_ci_lo,D_ci_hi,verdict,fidelity_cost_point,fidelity_cost_ci_lo,fidelity_cost_ci_hi,gap_point_pp,bench_gap_point_pp
E1,reweighing,B3,logistic_regression,0.1,White,Black_Pardo,1.7992336435125331,0.956255930616202,2.7243644433548457,inconclusive,-0.01093035672286724,-0.018952624126538715,-0.0028096213103379264,12.824604741764025,11.025371098251492
E1,reweighing,B3,gradient_boosting,0.1,White,Black_Pardo,1.3084663467285562,0.42582167306335167,2.177696426309675,inconclusive,-0.005174598861973467,-0.01511547380115105,0.004672847701824272,12.333837444980048,11.025371098251492
E1,reweighing,B4,logistic_regression,0.1,White,Black_Pardo,-5.152656545279427,-6.062557526420995,-4.240482167439816,attenuation,-0.03186933896837735,-0.04583835040665948,-0.017033324693932504,5.872714552972065,11.025371098251492
E1,reweighing,B4,gradient_boosting,0.1,White,Black_Pardo,-4.999434190664248,-5.895265892568306,-4.114493892077097,attenuation,-0.03213689482470783,-0.04425671320590612,-0.018068151666753563,6.025936907587244,11.025371098251492
E2,threshold_eq_opp,B3,logistic_regression,0.1,White,Black_Pardo,-5.359380139929169,-6.2794158378264395,-4.470680175494329,attenuation,-0.026970954356846433,-0.0397902710343194,-0.014005907016451434,5.665990958322323,11.025371098251492
E2,threshold_eq_opp,B3,gradient_boosting,0.1,White,Black_Pardo,-4.806533992905358,-5.659522860328593,-3.9007405799048858,attenuation,-0.026141078838174292,-0.03816653214043398,-0.01429833339108784,6.218837105346134,11.025371098251492
E2,threshold_eq_opp,B4,logistic_regression,0.1,White,Black_Pardo,-5.5641289635945075,-6.473925292255722,-4.650184262521296,attenuation,-0.03024026512013256,-0.043784359996694736,-0.015613434800823469,5.461242134656985,11.025371098251492
E2,threshold_eq_opp,B4,gradient_boosting,0.1,White,Black_Pardo,-4.994127596160147,-5.876743701274027,-4.0943152995141,attenuation,-0.032418952618453845,-0.04551147595142077,-0.01833799977331536,6.031243502091345,11.025371098251492
E3,level0_unmitigated,B3,logistic_regression,0.1,White,Black_Pardo,3.521825705808217,2.655700050752285,4.392826108622931,amplification,0.0,0.0,0.0,14.547196804059709,11.025371098251492
E3,level10_full_eq,B3,logistic_regression,0.1,White,Black_Pardo,-5.359380139929169,-6.2794158378264395,-4.470680175494329,attenuation,-0.026970954356846433,-0.0397902710343194,-0.014005907016451434,5.665990958322323,11.025371098251492
E3,level0_unmitigated,B3,gradient_boosting,0.1,White,Black_Pardo,3.361321985704528,2.46732799618661,4.257166257029607,amplification,0.0,0.0,0.0,14.38669308395602,11.025371098251492
E3,level10_full_eq,B3,gradient_boosting,0.1,White,Black_Pardo,-4.806533992905358,-5.659522860328593,-3.9007405799048858,attenuation,-0.026141078838174292,-0.03816653214043398,-0.01429833339108784,6.218837105346134,11.025371098251492
E3,level0_unmitigated,B4,logistic_regression,0.1,White,Black_Pardo,5.742466430376384,4.838278362323832,6.636891877321264,amplification,0.0,0.0,0.0,16.767837528627876,11.025371098251492
E3,level10_full_eq,B4,logistic_regression,0.1,White,Black_Pardo,-5.5641289635945075,-6.473925292255722,-4.650184262521296,attenuation,-0.03024026512013256,-0.043784359996694736,-0.015613434800823469,5.461242134656985,11.025371098251492
E3,level0_unmitigated,B4,gradient_boosting,0.1,White,Black_Pardo,5.117606770372179,4.234372390640106,6.033832469120752,amplification,0.0,0.0,0.0,16.14297786862367,11.025371098251492
E3,level10_full_eq,B4,gradient_boosting,0.1,White,Black_Pardo,-4.994127596160147,-5.876743701274027,-4.0943152995141,attenuation,-0.032418952618453845,-0.04551147595142077,-0.01833799977331536,6.031243502091345,11.025371098251492
