task,variant,block,model,K,group_a,group_b,n_a,n_b,D_point,D_ci_lo,D_ci_hi,verdict,sign_reversal,ratio_point,ratio_ci_lo,ratio_ci_hi,gap_point_pp,bench_gap_point_pp
D1,K5_local,B1,logistic_regression,0.05,White,Black_Pardo,8904,15145,-3.3256544923481512,-4.191500969068991,-2.4899383082434343,attenuation,False,1.7037463844686624,1.5328944258937438,1.8923160070201137,2.797327985804786,6.122982478152937
D1,K5_global,B1,logistic_regression,0.05,White,Black_Pardo,8904,15145,-3.5490372045963596,-4.406216861592803,-2.731144366808186,attenuation,False,1.7209654572075954,1.5497233752984005,1.9119852167170368,2.82768888465706,6.376726089253419
D1,K5_local,B1,gradient_boosting,0.05,White,Black_Pardo,8904,15145,-3.074007267869119,-3.97712337565261,-2.213310879675566,attenuation,False,1.7879987979479255,1.6055636916150215,1.9844327116393328,3.0489752102838183,6.122982478152937
D1,K5_global,B1,gradient_boosting,0.05,White,Black_Pardo,8904,15145,-3.298068506384969,-4.22420638010463,-2.429901914764048,attenuation,False,1.8137219736918444,1.624993057365676,2.0140611698794983,3.0786575828684506,6.376726089253419
D1,K5_local,B2,logistic_regression,0.05,White,Black_Pardo,8904,15145,-2.3811444446718553,-3.249148449534109,-1.5797989530376773,attenuation,False,2.0417304598726287,1.8291287823652094,2.2746765747204094,3.741838033481082,6.122982478152937
D1,K5_global,B2,logistic_regression,0.05,White,Black_Pardo,8904,15145,-2.54831181181493,-3.438660650697051,-1.7410734493190558,attenuation,False,2.0484870566330184,1.8372174340731753,2.2768226073741755,3.8284142774384895,6.376726089253419
D1,K5_local,B2,gradient_boosting,0.05,White,Black_Pardo,8904,15145,-2.840193790068274,-3.645887782285467,-2.074064423510736,attenuation,False,1.8707151432756959,1.6808020559937191,2.0812751604187416,3.282788688084663,6.122982478152937
D1,K5_global,B2,gradient_boosting,0.05,White,Black_Pardo,8904,15145,-3.103193537641671,-3.9236760654790452,-2.328783332695593,attenuation,False,1.8713119594755698,1.6808433971072705,2.0855249464575643,3.2735325516117486,6.376726089253419
D1,K5_local,B3,logistic_regression,0.05,White,Black_Pardo,8904,15145,1.7054368418851373,0.961126210483446,2.4770755636513995,inconclusive,False,4.728346245345177,4.159926365497383,5.387407731902307,7.8284193200380745,6.122982478152937
D1,K5_global,B3,logistic_regression,0.05,White,Black_Pardo,8904,15145,1.488039250408673,0.7316781964223062,2.2801634959097092,inconclusive,False,4.710650189071102,4.140184772329477,5.358236651475386,7.8647653396620925,6.376726089253419
D1,K5_local,B3,gradient_boosting,0.05,White,Black_Pardo,8904,15145,1.2549651066939917,0.5189429888140319,2.0040587179576175,inconclusive,False,4.267222695102536,3.7285499438556537,4.822053116204709,7.377947584846929,6.122982478152937
D1,K5_global,B3,gradient_boosting,0.05,White,Black_Pardo,8904,15145,0.9113742359349288,0.14024609591558415,1.6536197559559784,inconclusive,False,4.227435070905775,3.6950883321073857,4.77513566603426,7.288100325188348,6.376726089253419
D1,K5_local,B4,logistic_regression,0.05,White,Black_Pardo,8904,15145,2.908875479528974,2.143361421354579,3.692381310553835,amplification,False,6.515624547140828,5.679816020113345,7.5121526121301745,9.031857957681911,6.122982478152937
D1,K5_global,B4,logistic_regression,0.05,White,Black_Pardo,8904,15145,2.7602203853317304,1.9833103487194905,3.5185494065008607,amplification,False,6.301879477302379,5.474263428114256,7.227120495343719,9.13694647458515,6.376726089253419
D1,K5_local,B4,gradient_boosting,0.05,White,Black_Pardo,8904,15145,1.985470194232037,1.2216937565498178,2.6891156711536905,amplification,False,5.148733639299677,4.507657576409736,5.85863951359954,8.108452672384974,6.122982478152937
D1,K5_global,B4,gradient_boosting,0.05,White,Black_Pardo,8904,15145,1.7383294223524208,0.9579112195467795,2.4388506380519908,inconclusive,False,5.166186973670185,4.535704282136535,5.892097237428441,8.11505551160584,6.376726089253419
D1,K5_local,B5,logistic_regression,0.05,White,Black_Pardo,8904,15145,1.7054368418851373,0.9680307899647527,2.458119208240674,inconclusive,False,4.728346245345177,4.152391507503147,5.3986838941893405,7.8284193200380745,6.122982478152937
D1,K5_global,B5,logistic_regression,0.05,White,Black_Pardo,8904,15145,1.4543465280367052,0.7071767982874139,2.2344656416544826,inconclusive,False,4.694753731740153,4.138266958881766,5.356524646796174,7.831072617290125,6.376726089253419
