block,model,K,definition,n_test_selected_model,n_test_selected_bench,k_local,overlap_at_k,n_a,n_b,rate_a_pct,rate_b_pct,gap_pp,ratio,bench_gap_pp,bench_rate_a_pct,bench_rate_b_pct,n_model_positive_a,n_model_positive_b,n_bench_positive_a,n_bench_positive_b,D
B1,logistic_regression,0.05,local,1238,1238,1238,0.1260096930533118,8904,15145,6.772237196765499,3.9749092109607127,2.797327985804786,1.7037463844686627,6.122982478152936,8.84995507637017,2.7269725982172335,603,602,788,413,-3.3256544923481504
B1,logistic_regression,0.05,global,1227,1288,1238,0.1308562197092084,8904,15145,6.749775381850853,3.9220864971937934,2.8276888846570594,1.7209654572075954,6.3767260892534186,9.209344115004491,2.832618025751073,601,594,820,429,-3.549037204596359
B1,gradient_boosting,0.05,local,1238,1238,1238,0.12197092084006463,8904,15145,6.918238993710692,3.8692637834268733,3.048975210283819,1.7879987979479255,6.122982478152936,8.84995507637017,2.7269725982172335,616,586,788,413,-3.0740072678691175
B1,gradient_boosting,0.05,global,1219,1288,1238,0.12439418416801293,8904,15145,6.862084456424079,3.7834268735556287,3.0786575828684506,1.8137219736918444,6.3767260892534186,9.209344115004491,2.832618025751073,611,573,820,429,-3.298068506384968
B2,logistic_regression,0.05,local,1238,1238,1238,0.16397415185783523,8904,15145,7.333782569631627,3.5919445361505447,3.741838033481082,2.0417304598726282,6.122982478152936,8.84995507637017,2.7269725982172335,653,544,788,413,-2.3811444446718544
B2,logistic_regression,0.05,global,1261,1288,1238,0.17447495961227788,8904,15145,7.479784366576819,3.6513700891383296,3.8284142774384895,2.0484870566330184,6.3767260892534186,9.209344115004491,2.832618025751073,666,553,820,429,-2.548311811814929
B2,gradient_boosting,0.05,local,1238,1238,1238,0.17851373182552505,8904,15145,7.053009883198562,3.7702211951138986,3.282788688084663,1.8707151432756957,6.122982478152936,8.84995507637017,2.7269725982172335,628,571,788,413,-2.840193790068273
B2,gradient_boosting,0.05,global,1234,1288,1238,0.1841680129240711,8904,15145,7.030548068283918,3.7570155166721695,3.273532551611748,1.8713119594755698,6.3767260892534186,9.209344115004491,2.832618025751073,626,569,820,429,-3.1031935376416704
B3,logistic_regression,0.05,local,1238,1238,1238,0.3869143780290792,8904,15145,9.928122192273134,2.0997028722350612,7.828419320038073,4.728346245345176,6.122982478152936,8.84995507637017,2.7269725982172335,884,318,788,413,1.7054368418851364
B3,logistic_regression,0.05,global,1247,1288,1238,0.3990306946688207,8904,15145,9.984276729559749,2.119511389897656,7.8647653396620925,4.710650189071102,6.3767260892534186,9.209344115004491,2.832618025751073,889,321,820,429,1.488039250408674
B3,gradient_boosting,0.05,local,1238,1238,1238,0.4111470113085622,8904,15145,9.63611859838275,2.2581710135358204,7.377947584846929,4.267222695102536,6.122982478152936,8.84995507637017,2.7269725982172335,858,342,788,413,1.2549651066939926
