scheme,block,model,K,overlap_at_k,n_a,n_b,rate_a_pct,rate_b_pct,gap_pp,ratio,bench_gap_pp,bench_rate_a_pct,bench_rate_b_pct,n_model_positive_a,n_model_positive_b,n_bench_positive_a,n_bench_positive_b,D
ufs_eng_computacao,B3,logistic_regression,0.1,0.4844570044408559,8904,15145,19.081311769991018,4.707824364476725,14.373487405514293,4.053106125617306,10.833827953027889,16.868823000898473,6.034995047870584,1699,713,1502,914,3.5396594524864042
ufs_eng_computacao,B3,gradient_boosting,0.1,0.4917238595074687,8904,15145,19.081311769991018,4.68801584681413,14.393295923176888,4.070231926148084,10.833827953027889,16.868823000898473,6.034995047870584,1699,710,1502,914,3.559467970148999
ufs_eng_computacao,B4,logistic_regression,0.1,0.49091643116673395,8904,15145,20.530098831985626,3.8428524265434136,16.687246405442213,5.342411457223751,10.833827953027889,16.868823000898473,6.034995047870584,1828,582,1502,914,5.853418452414324
ufs_eng_computacao,B4,gradient_boosting,0.1,0.497375857892612,8904,15145,20.24932614555256,3.981512050181578,16.26781409537098,5.085838216822446,10.833827953027889,16.868823000898473,6.034995047870584,1803,603,1502,914,5.433986142343091
ufs_medicina,B3,logistic_regression,0.1,0.49132014533710133,8904,15145,19.216082659478886,4.615384615384616,14.600698044094269,4.163484576220425,11.01414019079417,16.969901168014374,5.955760977220205,1711,699,1511,902,3.5865578533001
ufs_medicina,B3,gradient_boosting,0.1,0.4981832862333468,8904,15145,19.01392632524708,4.773852756685375,14.240073568561705,3.982931040053486,11.01414019079417,16.969901168014374,5.955760977220205,1693,723,1511,902,3.225933377767536
ufs_medicina,B4,logistic_regression,0.1,0.4985870004037142,8904,15145,20.586253369272235,3.836249587322549,16.750003781949687,5.366244531456592,11.01414019079417,16.969901168014374,5.955760977220205,1833,581,1511,902,5.735863591155518
ufs_medicina,B4,gradient_boosting,0.1,0.49939442874444895,8904,15145,20.541329739442947,3.8824694618686033,16.658860277574345,5.290789777276589,11.01414019079417,16.969901168014374,5.955760977220205,1829,588,1511,902,5.6447200867801754
ufs_direito,B3,logistic_regression,0.1,0.4683084376261607,8904,15145,18.823000898472596,4.859689666556619,13.963311231915977,3.873292779991406,10.341085885259503,16.554357592093442,6.213271706833939,1676,736,1474,941,3.6222253466564744
ufs_direito,B3,gradient_boosting,0.1,0.4775938635446104,8904,15145,18.598382749326145,4.985143611753054,13.61323913757309,3.7307616786562177,10.341085885259503,16.554357592093442,6.213271706833939,1656,755,1474,941,3.272153252313588
ufs_direito,B4,logistic_regression,0.1,0.4719418651594671,8904,15145,20.21563342318059,4.060746120831958,16.154887302348634,4.978305173887318,10.341085885259503,16.554357592093442,6.213271706833939,1800,615,1474,941,5.813801417089131
ufs_direito,B4,gradient_boosting,0.1,0.48082357690754945,8904,15145,19.743935309973047,4.311654011224827,15.432281298748219,4.579202148078741,10.341085885259503,16.554357592093442,6.213271706833939,1758,653,1474,941,5.091195413488716
objective_only,B3,logistic_regression,0.1,0.5034315704481227,8904,15145,19.20485175202156,4.588973258501156,14.615878493520405,4.184999709127576,11.383342276532009,17.16082659478886,5.7774843182568505,1710,695,1528,875,3.2325362169883967
objective_only,B3,gradient_boosting,0.1,0.5054501412999596,8904,15145,19.227313566936207,4.562561901617696,14.664751665318512,4.214148537934137,11.383342276532009,17.16082659478886,5.7774843182568505,1712,691,1528,875,3.2814093887865035
objective_only,B4,logistic_regression,0.1,0.5054501412999596,8904,15145,20.552560646900268,3.7900297127764935,16.762530934123774,5.422796707270115,11.383342276532009,17.16082659478886,5.7774843182568505,1830,574,1528,875,5.379188657591765
objective_only,B4,gradient_boosting,0.1,0.5050464271295922,8904,15145,20.50763701707098,3.7570155166721695,16.75062150039881,5.458491434508611,11.383342276532009,17.16082659478886,5.7774843182568505,1826,569,1528,875,5.367279223866802
standardised_equal,B3,logistic_regression,0.1,0.4981832862333468,8904,15145,19.227313566936207,4.5823704192802905,14.644943147655916,4.195931757510791,11.1700158426614,17.059748427672954,5.889732585011555,1712,694,1519,892,3.474927304994516
standardised_equal,B3,gradient_boosting,0.1,0.5022204279370206,8904,15145,18.991464510332435,4.734235721360185,14.257228788972249,4.011516457586955,11.1700158426614,17.059748427672954,5.889732585011555,1691,717,1519,892,3.0872129463108493
standardised_equal,B4,logistic_regression,0.1,0.4981832862333468,8904,15145,20.698562443845464,3.7173984813469794,16.981163962498485,5.568023591688092,11.1700158426614,17.059748427672954,5.889732585011555,1843,563,1519,892,5.811148119837085
standardised_equal,B4,gradient_boosting,0.1,0.500605571255551,8904,15145,20.327942497753817,3.902277979531198,16.425664518222618,5.209250239060602,11.1700158426614,17.059748427672954,5.889732585011555,1810,591,1519,892,5.255648675561218
