variant,block,model,K,group_a,group_b,n_a,n_b,rate_a_pct,rate_b_pct,gap_pp,ratio,bench_gap_pp,bench_rate_a_pct,bench_rate_b_pct,n_model_positive_a,n_model_positive_b,n_bench_positive_a,n_bench_positive_b,D,n_not_declared,n_bench_positive_not_declared,n_model_positive_not_declared
black_vs_white,B3,logistic_regression,0.1,White,Black,8904,3287,19.18238993710692,2.555521752357773,16.626868184749146,7.506251871817909,12.81319778888819,16.9811320754717,4.1679342865835105,1708,84,1512,137,3.8136703958609566,,,
pardo_vs_white,B3,logistic_regression,0.1,White,Pardo,8904,11858,19.18238993710692,5.21167144543768,13.970718491669238,3.6806598685147867,10.529791208546417,16.9811320754717,6.451340866925283,1708,618,1512,765,3.4409272831228215,,,
bpi_vs_white,B3,logistic_regression,0.1,White,Black_Pardo_Indigenous,8904,15300,19.18238993710692,4.594771241830065,14.587618695276854,4.174830242357552,11.066099395733136,16.9811320754717,5.9150326797385615,1708,703,1512,905,3.5215192995437175,,,
sex_f_vs_m,B3,logistic_regression,0.1,F,M,14837,9939,8.81579834198288,11.761746654593018,-2.9459483126101382,0.7495313919672185,-3.1475636890864287,8.734919458111479,11.882483147197908,1308,1169,1296,1181,0.20161537647629046,,,
black_vs_white,B3,gradient_boosting,0.1,White,Black,8904,3287,19.081311769991018,2.7989047763918466,16.28240699359917,6.817420846517443,12.81319778888819,16.9811320754717,4.1679342865835105,1699,92,1512,137,3.4692092047109817,,,
pardo_vs_white,B3,gradient_boosting,0.1,White,Pardo,8904,11858,19.081311769991018,5.2201045707539215,13.861207199237096,3.6553504841446443,10.529791208546417,16.9811320754717,6.451340866925283,1699,619,1512,765,3.3314159906906795,,,
bpi_vs_white,B3,gradient_boosting,0.1,White,Black_Pardo_Indigenous,8904,15300,19.081311769991018,4.6535947712418295,14.427716998749188,4.100338062933464,11.066099395733136,16.9811320754717,5.9150326797385615,1699,712,1512,905,3.361617603016052,,,
sex_f_vs_m,B3,gradient_boosting,0.1,F,M,14837,9939,8.66078048122936,11.993158265419055,-3.3323777841896955,0.7221434329105588,-3.1475636890864287,8.734919458111479,11.882483147197908,1285,1192,1296,1181,-0.18481409510326685,,,
black_vs_white,B4,logistic_regression,0.1,White,Black,8904,3287,20.59748427672956,1.369029510191664,19.228454766537897,15.045317959468903,12.81319778888819,16.9811320754717,4.1679342865835105,1834,45,1512,137,6.415256977649708,,,
pardo_vs_white,B4,logistic_regression,0.1,White,Pardo,8904,11858,20.59748427672956,4.511722044189577,16.085762232539984,4.565326515017927,10.529791208546417,16.9811320754717,6.451340866925283,1834,535,1512,765,5.555971023993568,,,
bpi_vs_white,B4,logistic_regression,0.1,White,Black_Pardo_Indigenous,8904,15300,20.59748427672956,3.797385620915033,16.800098655814526,5.424122365472672,11.066099395733136,16.9811320754717,5.9150326797385615,1834,581,1512,905,5.73399926008139,,,
sex_f_vs_m,B4,logistic_regression,0.1,F,M,14837,9939,8.883197411875717,11.661132910755608,-2.7779354988798914,0.7617782491512749,-3.1475636890864287,8.734919458111479,11.882483147197908,1318,1159,1296,1181,0.36962819020653725,,,
black_vs_white,B4,gradient_boosting,0.1,White,Black,8904,3287,20.170709793351303,1.3386066321874048,18.8321031611639,15.068437066078577,12.81319778888819,16.9811320754717,4.1679342865835105,1796,44,1512,137,6.018905372275711,,,
pardo_vs_white,B4,gradient_boosting,0.1,White,Pardo,8904,11858,20.170709793351303,4.773148928993084,15.39756086435822,4.225870613596463,10.529791208546417,16.9811320754717,6.451340866925283,1796,566,1512,765,4.867769655811802,,,
bpi_vs_white,B4,gradient_boosting,0.1,White,Black_Pardo_Indigenous,8904,15300,20.170709793351303,3.9934640522875817,16.17724574106372,5.050930602917757,11.066099395733136,16.9811320754717,5.9150326797385615,1796,611,1512,905,5.111146345330585,,,
sex_f_vs_m,B4,gradient_boosting,0.1,F,M,14837,9939,8.72143964413291,11.902605895965388,-3.1811662518324777,0.7327336316402113,-3.1475636890864287,8.734919458111479,11.882483147197908,1294,1183,1296,1181,-0.033602562746049,,,
race_not_declared_retained,B3,logistic_regression,0.1,White,Black_Pardo,8904,15145,19.14869721473495,4.68801584681413,14.460681367920818,4.084605905875504,10.95070428801905,16.880053908355794,5.929349620336745,1705,710,1503,898,3.509977079901768,487.0,63.0,43.0
race_not_declared_retained,B3,gradient_boosting,0.1,White,Black_Pardo,8904,15145,18.991464510332435,4.734235721360185,14.257228788972249,4.011516457586955,10.95070428801905,16.880053908355794,5.929349620336745,1691,717,1503,898,3.3065245009531985,487.0,63.0,49.0
race_not_declared_retained,B4,logistic_regression,0.1,White,Black_Pardo,8904,15145,20.59748427672956,3.8164410696599536,16.781043207069608,5.397039781506388,10.95070428801905,16.880053908355794,5.929349620336745,1834,578,1503,898,5.830338919050558,487.0,63.0,50.0
race_not_declared_retained,B4,gradient_boosting,0.1,White,Black_Pardo,8904,15145,20.0696316262354,4.067348960052822,16.002282666182577,4.9343274509632336,10.95070428801905,16.880053908355794,5.929349620336745,1787,616,1503,898,5.051578378163526,487.0,63.0,50.0
