NU_INSCRICAO,race_label,composite_raw_equal,composite_decile,split
190001614888,White,554.88,6,train
190001528115,Asian,607.9799999999999,8,train
190001357650,Pardo,601.86,8,val
190001575774,Pardo,455.9200000000001,2,train
190001443384,Pardo,565.26,7,train
190001277409,Pardo,383.46000000000004,0,train
190001215641,Pardo,430.34,1,test
190001539348,Pardo,460.7200000000001,2,test
190001040125,Pardo,456.53999999999996,2,train
190001692870,White,632.64,8,val
190001394962,Pardo,471.88,2,train
190001451006,Black,503.38,4,train
190001210491,Pardo,452.64,2,test
190001310853,Pardo,519.6800000000001,5,train
190001383867,White,538.7,6,val
190001396246,Black,403.38,0,test
190001061392,White,472.9200000000001,2,train
190001613451,Pardo,647.0600000000001,9,val
190001099959,Pardo,366.96,0,train
190001273586,White,467.28000000000003,2,train
190001053461,Pardo,554.34,6,train
190002082796,Black,535.04,6,val
190001180518,Pardo,516.56,5,val
190001152314,Pardo,474.6,3,val
190001033756,Pardo,528.4,5,val
190001602645,White,520.54,5,train
190001197293,White,471.2,2,train
190001692843,Pardo,446.36,1,train
190001361229,Asian,618.9399999999999,8,train
190002998366,White,523.4200000000001,5,test
190001489865,Pardo,641.2,9,test
190001610948,Pardo,736.26,9,test
190001567204,Black,594.14,8,train
190001579442,Pardo,435.23999999999995,1,train
190001476938,White,460.0,2,train
190001614337,White,660.5,9,test
190001027253,Pardo,603.28,8,train
190001025521,Pardo,620.68,8,train
190001432715,Black,500.12,4,val
190001310753,White,728.1,9,test
190001570122,Pardo,575.76,7,test
190001108312,Pardo,585.74,7,train
190001614046,Pardo,515.18,5,train
190001044070,Black,619.9799999999999,8,train
190001687866,White,685.64,9,train
190001328872,Pardo,682.62,9,train
190001090651,Pardo,453.4799999999999,2,val
190001032539,Pardo,440.4200000000001,1,train
190002034032,Pardo,633.64,8,test
190001545589,Pardo,528.9200000000001,5,val
190001511949,Pardo,421.4,0,train
190002103521,White,504.08000000000004,4,val
190001932505,Pardo,430.1,1,test
190001524806,White,449.43999999999994,1,train
190001025003,Pardo,657.72,9,train
190001490068,Black,475.64,3,val
190001051639,Black,445.91999999999996,1,test
190001460491,White,453.58000000000004,2,train
190001405937,Pardo,503.28000000000003,4,train
190001429480,White,463.2200000000001,2,train
190001465876,Pardo,679.22,9,train
190001703335,Pardo,501.12,4,train
190001404568,Pardo,529.02,5,train
190001717447,White,476.91999999999996,3,val
190001878428,Pardo,541.72,6,val
190001171552,Pardo,619.98,8,train
190001119030,Pardo,433.53999999999996,1,train
190001689675,White,563.9200000000001,7,train
190001361684,Black,556.04,6,train
190002666210,Pardo,616.62,8,val
190001217714,Pardo,430.58000000000004,1,train
190001696372,White,541.3199999999999,6,val
190001285360,Pardo,400.8,0,train
190001288804,Pardo,583.88,7,train
190001469581,White,515.72,5,val
190001746124,Pardo,475.2,3,test
190001044001,Black,462.0,2,train
190001436925,White,522.38,5,train
190001025372,Asian,399.08000000000004,0,train
190001188859,Pardo,544.3399999999999,6,train
190001610031,Pardo,508.48,4,train
190001299802,White,806.5200000000001,9,train
190001179142,Black,598.8,8,train
190001061434,White,561.78,7,train
190001413113,Pardo,493.9799999999999,4,train
190001478914,Pardo,700.8199999999999,9,test
190001878138,White,444.34,1,val
190002065490,Pardo,525.68,5,train
190001447790,White,558.3199999999999,6,train
190002454599,White,622.64,8,train
190001433500,White,529.18,5,train
190002089351,Pardo,533.9,5,train
190001533563,Pardo,686.24,9,train
190001577066,White,576.96,7,train
190001999620,Pardo,326.54,0,train
190001438929,Pardo,535.1400000000001,6,val
190001737732,White,509.12,4,train
190001436167,Pardo,633.64,8,train
190001446881,Pardo,411.2,0,test
190001546151,Pardo,482.9200000000001,3,val
190001703503,White,534.64,5,train
190001546054,Pardo,592.64,8,train
190001469834,Pardo,580.6800000000001,7,val
190001589876,Pardo,569.92,7,train
190001570074,White,613.4799999999999,8,train
190001409477,Pardo,482.52,3,val
190001183390,Pardo,474.32,3,train
190001407669,Black,482.36,3,train
190001454251,Pardo,361.50000000000006,0,test
190001780048,White,676.1,9,val
190001152818,Pardo,530.5,5,train
190001108489,White,633.3799999999999,8,train
190001215543,Pardo,586.38,7,train
190001553173,Pardo,463.93999999999994,2,val
190001066426,Pardo,428.38,1,test
190001171217,Black,517.0600000000001,5,val
190001433121,Black,453.16,2,val
190001113616,Pardo,370.76,0,test
190001756320,White,632.64,8,train
190001458749,Pardo,551.5799999999999,6,train
190001418393,Pardo,453.03999999999996,2,train
190001161029,White,519.5600000000001,5,test
190001390526,Pardo,455.0799999999999,2,test
190001722979,White,596.54,8,train
190001691354,White,491.73999999999995,3,train
190001607486,Asian,463.6,2,val
190001155763,Pardo,510.18,4,train
190001281760,Pardo,442.6,1,train
190001426016,Pardo,522.2,5,val
190001553072,White,594.92,8,train
190001043772,Pardo,518.36,5,test
190001416956,White,509.53999999999996,4,train
190001259579,Black,559.96,6,train
190001451537,Pardo,394.14,0,train
190001574871,White,487.1,3,train
190001480771,Pardo,483.06000000000006,3,train
190001723089,Pardo,549.62,6,train
190001447927,Pardo,506.38,4,test
190001443397,Black,460.18,2,test
190001155880,White,451.41999999999996,1,test
190001147209,White,593.38,8,train
190001577095,Pardo,455.93999999999994,2,train
190001793763,Pardo,508.3,4,val
190001171582,White,495.36,4,train
190001024100,Pardo,525.9200000000001,5,test
190001157860,Pardo,440.32,1,train
190001410810,Pardo,507.1,4,train
190001475111,Pardo,464.56000000000006,2,val
190001767841,White,578.98,7,train
190001098599,Pardo,462.06000000000006,2,train
190001535793,White,315.0,0,test
190001361175,Pardo,430.28000000000003,1,train
190001168348,Pardo,586.6999999999999,7,val
190001411820,White,644.9200000000001,9,train
190001165895,Pardo,534.64,5,train
190001168294,Pardo,382.36,0,train
190002051491,White,434.3,1,val
190001871508,Pardo,509.93999999999994,4,train
190001211867,Black,459.28000000000003,2,train
190001487819,White,420.0,0,train
190001719411,White,557.78,6,val
190001593396,White,459.66,2,train
190001493472,White,505.0200000000001,4,train
190001548942,Pardo,462.73999999999995,2,test
190001080843,Asian,497.36,4,val
190001177232,Pardo,624.58,8,val
190001526508,White,393.9,0,val
190002079152,White,595.52,8,train
190001596258,White,569.8399999999999,7,val
190001196014,Pardo,445.1,1,train
190001857559,Pardo,681.6,9,test
190001556476,Pardo,638.6600000000001,9,train
190001432593,Black,519.86,5,train
190001100805,Pardo,525.04,5,train
190001168720,Pardo,473.58000000000004,2,train
190001617441,White,519.72,5,train
190001425469,Black,517.24,5,val
190001563030,Pardo,460.93999999999994,2,test
190001669248,Pardo,512.6,4,train
190001582622,White,558.14,6,train
190001413324,Pardo,503.84,4,test
190001207991,Pardo,599.1,8,train
190001710437,White,670.08,9,train
190001390620,Pardo,640.0,9,train
190002089406,White,453.73999999999995,2,train
190001696425,Pardo,467.28000000000003,2,train
190001303145,White,654.38,9,train
190001208219,Pardo,506.36,4,test
190001382546,Pardo,527.74,5,train
190001404033,White,550.38,6,test
190001504157,White,520.5600000000001,5,train
190001065343,White,561.3199999999999,7,train
190001672920,Black,576.14,7,train
190001606646,Pardo,513.8199999999999,5,test
190001618060,White,657.1,9,train
190002107506,White,489.52,3,train
190001498869,Asian,610.2,8,val
190001105917,Pardo,513.8399999999999,5,train
190001548860,Pardo,456.91999999999996,2,train
190001428033,Pardo,637.54,8,train
190001368114,Pardo,428.64000000000004,1,val
190001100940,Pardo,429.43999999999994,1,val
190002079421,White,670.84,9,val
190001596054,Pardo,415.84,0,train
190001043748,Pardo,428.32,1,train
190001767833,White,509.98,4,train
190001045979,Pardo,595.9,8,train
190001686304,White,574.1,7,train
190001767837,Black,519.28,5,train
190001783545,Pardo,574.7,7,test
190001710487,White,664.86,9,test
190001320851,Pardo,556.6,6,val
190001860956,White,497.28000000000003,4,train
190001680161,White,480.02,3,test
190001288928,Pardo,493.3,3,test
190001103232,Pardo,500.17999999999995,4,train
190001578399,Black,464.93999999999994,2,train
190001906025,White,502.58000000000004,4,train
190001440549,Pardo,482.87999999999994,3,train
190001480621,Pardo,450.7200000000001,1,test
190001217189,Pardo,429.2,1,val
190001703112,White,585.68,7,val
190001736905,White,610.1,8,val
190001042930,Pardo,530.74,5,train
190001155262,White,330.68,0,val
190001365435,Pardo,606.1600000000001,8,test
190002037554,White,615.5600000000001,8,val
190001443953,White,447.67999999999995,1,train
190001486455,White,611.22,8,train
190001321124,Pardo,512.6800000000001,4,train
190001440515,Pardo,425.4,1,val
190001171567,Pardo,551.9599999999999,6,test
190001418513,Pardo,626.08,8,train
190001783391,White,460.88,2,val
190001320910,Black,410.4200000000001,0,train
190001672945,Black,562.76,7,val
190002058464,Black,706.54,9,val
190001508416,White,502.1,4,test
190001041662,White,518.6600000000001,5,test
190001513875,Pardo,502.96000000000004,4,train
190002117571,Black,522.1800000000001,5,train
190001726584,White,610.98,8,test
190001414621,Pardo,566.66,7,train
190002232886,Pardo,507.02,4,train
190001043013,Black,553.74,6,train
190001346489,White,508.9200000000001,4,val
190001421919,Black,432.16,1,train
190001180787,Pardo,431.98,1,train
